x,y
-0.5,0.0
-0.5,3.28e-05
-0.5,6.56e-05
-0.5,9.839999e-05
-0.5,0.0001312000
-0.5,0.0001640000
-0.5,0.0001968000
-0.5,0.0002295999
-0.5,0.0002623999
-0.5,0.0002951999
-0.5,0.0003279999
-0.5,0.0003607999
-0.5,0.0003935999
-0.5,0.0004263999
-0.5,0.0004591999
-0.5,0.0004919999
-0.5,0.0005247998
-0.5,0.0005575998
-0.5,0.0005903997
-0.5,0.0006231997
-0.5,0.0006559996
-0.5,0.0006887996
-0.5,0.0007215996
-0.5,0.0007543995
-0.5,0.0007871995
-0.5,0.0008199994
-0.5,0.0008527994
-0.5,0.0008855994
-0.5,0.0009183993
-0.5,0.0009511993
-0.5,0.0009839992
-0.5,0.001016799
-0.5,0.001049599
-0.5,0.001082399
-0.5,0.001115199
-0.5,0.001147999
-0.5,0.001180799
-0.5,0.001213599
-0.5,0.001246398
-0.5,0.001279198
-0.5,0.001311998
-0.5,0.001344798
-0.5,0.001377598
-0.5,0.001410398
-0.5,0.001443198
-0.5,0.001475998
-0.5,0.001508798
-0.5,0.001541598
-0.5,0.001574397
-0.5,0.001607197
-0.5,0.001639997
-0.5,0.001672797
-0.5,0.001705597
-0.5,0.001738397
-0.5,0.001771197
-0.5,0.001803997
-0.5,0.001836797
-0.5,0.001869597
-0.5,0.001902396
-0.5,0.001935196
-0.5,0.001967996
-0.5,0.002000796
-0.5,0.002033596
-0.5,0.002066396
-0.5,0.002099196
-0.5,0.002131996
-0.5,0.002164797
-0.5,0.002197597
-0.5,0.002230397
-0.5,0.002263197
-0.5,0.002295997
-0.5,0.002328797
-0.5,0.002361597
-0.5,0.002394397
-0.5,0.002427197
-0.5,0.002459997
-0.5,0.002492797
-0.5,0.002525597
-0.5,0.002558397
-0.5,0.002591197
-0.5,0.002623997
-0.5,0.002656797
-0.5,0.002689597
-0.5,0.002722397
-0.5,0.002755197
-0.5,0.002787997
-0.5,0.002820797
-0.5,0.002853597
-0.5,0.002886397
-0.5,0.002919197
-0.5,0.002951997
-0.5,0.002984797
-0.5,0.003017597
-0.5,0.003050397
-0.5,0.003083197
-0.5,0.003115997
-0.5,0.003148797
-0.5,0.003181597
-0.5,0.003214397
-0.5,0.003247197
-0.5,0.003279997
-0.5,0.003312797
-0.5,0.003345597
-0.5,0.003378397
-0.5,0.003411197
-0.5,0.003443997
-0.5,0.003476797
-0.5,0.003509597
-0.5,0.003542397
-0.5,0.003575197
-0.5,0.003607997
-0.5,0.003640797
-0.5,0.003673597
-0.5,0.003706397
-0.5,0.003739197
-0.5,0.003771997
-0.5,0.003804797
-0.5,0.003837597
-0.5,0.003870397
-0.5,0.003903197
-0.5,0.003935997
-0.5,0.003968798
-0.5,0.004001598
-0.5,0.004034398
-0.5,0.004067198
-0.5,0.004099999
-0.5,0.004132799
-0.5,0.004165599
-0.5,0.004198399
-0.5,0.004231200
-0.5,0.004264
-0.5,0.0042968
-0.5,0.004329600
-0.5,0.004362401
-0.5,0.004395201
-0.5,0.004428001
-0.5,0.004460801
-0.5,0.004493602
-0.5,0.004526402
-0.5,0.004559202
-0.5,0.004592002
-0.5,0.004624803
-0.5,0.004657603
-0.5,0.004690403
-0.5,0.004723203
-0.5,0.004756004
-0.5,0.004788804
-0.5,0.004821604
-0.5,0.004854404
-0.5,0.004887205
-0.5,0.004920005
-0.5,0.004952805
-0.5,0.004985605
-0.5,0.005018406
-0.5,0.005051206
-0.5,0.005084006
-0.5,0.005116806
-0.5,0.005149607
-0.5,0.005182407
-0.5,0.005215207
-0.5,0.005248007
-0.5,0.005280808
-0.5,0.005313608
-0.5,0.005346408
-0.5,0.005379208
-0.5,0.005412009
-0.5,0.005444809
-0.5,0.005477609
-0.5,0.005510409
-0.5,0.005543210
-0.5,0.00557601
-0.5,0.00560881
-0.5,0.005641610
-0.5,0.005674411
-0.5,0.005707211
-0.5,0.005740011
-0.5,0.005772811
-0.5,0.005805612
-0.5,0.005838412
-0.5,0.005871212
-0.5,0.005904012
-0.5,0.005936813
-0.5,0.005969613
-0.5,0.006002413
-0.5,0.006035213
-0.5,0.006068014
-0.5,0.006100814
-0.5,0.006133614
-0.5,0.006166414
-0.5,0.006199215
-0.5,0.006232015
-0.5,0.006264815
-0.5,0.006297615
-0.5,0.006330416
-0.5,0.006363216
-0.5,0.006396016
-0.5,0.006428816
-0.5,0.006461617
-0.5,0.006494417
-0.5,0.006527217
-0.5,0.006560017
-0.5,0.006592818
-0.5,0.006625618
-0.5,0.006658418
-0.5,0.006691218
-0.5,0.006724019
-0.5,0.006756819
-0.5,0.006789619
-0.5,0.006822419
-0.5,0.006855220
-0.5,0.00688802
-0.5,0.00692082
-0.5,0.006953620
-0.5,0.006986421
-0.5,0.007019221
-0.5,0.007052021
-0.5,0.007084821
